Sentence;Model 1 Label;Model 1 Score;Model 2 Label;Model 2 Score
Beni sürekli bekletip duruyorsunuz, bu nasıl bir hizmet?;Positive;0.99;negative;1.0
Sizinle her konuştuğumda başka bir şey duyuyorum, neden çözüm bulamıyorsunuz?;Negative;0.95;negative;0.81
İlgilenmiyorsunuz, sürekli erteliyorsunuz.;Negative;0.96;negative;1.0
Yine yanlış bilgi verdiniz, bu nasıl bir iş anlayışı?;Positive;0.78;negative;1.0
Sorunum hala çözülmedi, bu kadar zor olmamalı.;Positive;0.89;negative;0.99
Gerçekten bu hizmetten hiç memnun kalmadım.;Negative;0.99;negative;1.0
Bir türlü çözüm üretemiyorsunuz, bu kadar da zor olmamalı.;Positive;0.74;negative;1.0
Bu kadar kötü bir hizmet beklemiyordum, hayal kırıklığına uğradım.;Negative;1.0;negative;1.0
Bir sorunu çözmek neden bu kadar zor olabilir anlamıyorum.;Negative;0.94;negative;0.99
Hizmet kaliteniz çok düşük, hiç memnun değilim.;Negative;1.0;negative;1.0
İşlemler ne kadar sürüyor, bilgi verebilir misiniz?;Notr;0.98;negative;0.52
Başvuru durumu hakkında nasıl bilgi alabilirim?;Notr;0.99;negative;0.68
Hangi adımları takip etmeliyim?;Notr;1.0;positive;0.82
Bir sonraki adım nedir?;Notr;1.0;positive;0.99
Bu hizmete nasıl erişebilirim?;Notr;1.0;negative;0.95
Sistemde hangi bilgilere ulaşabilirim?;Notr;1.0;negative;0.94
İlgili belgeler nereden temin edilebilir?;Notr;1.0;positive;0.82
Başka bir adım var mı, ne yapmalıyım?;Notr;0.99;negative;0.55
Bir şey daha sormak istiyorum, hizmetle ilgili.;Notr;0.76;negative;0.53
Daha fazla bilgi almak için nereye başvurmalıyım?;Notr;1.0;positive;0.89
Bu işlem hakkında başka ne bilmem gerekiyor? Atlamamam gereken kritik bir detay var mı?;Positive;0.84;positive;0.95
İşlem süresi hakkında genel bilgi alabilir miyim? Tahmini bir zaman çizelgesi belirtebilir misiniz?;Positive;0.9;positive;0.62
Başka hangi seçenekler mevcut? Yaptığınız önerilere ek olarak sunabileceğiniz alternatifler var mı?;Notr;0.57;negative;0.61
Kullanıcı panelinde yapmam gereken bir şey var mı? Tüm ayarları ve işlemleri kontrol etmek istiyorum.;Positive;0.52;positive;0.88
Bu süreç hakkında daha fazla detay alabilir miyim? İşlemin her adımında ne yapılması gerektiğini öğrenmek istiyorum.;Notr;0.99;positive;0.95
Bu konuda daha fazla seçenek var mı? Alternatif çözüm yolları olup olmadığını öğrenmek istiyorum.;Positive;0.51;negative;0.93
Bir sonraki adım için bir şey yapmam gerekiyor mu? Hazırlamam gereken belgeler var mı?;Notr;0.95;positive;0.7
Daha önce bilgilendirildiğim bir konu hakkında konuşmak istiyorum. Size iletilen bilgi ile ilgili bazı sorularım var.;Positive;0.74;negative;0.94
Bu işlemle ilgili başka ne bilmem gerekiyor? İleride sorun yaşamamak için dikkat etmem gereken bir şey var mı?;Positive;0.96;negative;0.57
Hizmetle ilgili farklı seçenekler var mı? Diğer kullanıcıların tercih ettiği hizmet seçeneklerini öğrenmek istiyorum?;Positive;0.94;negative;0.95
İşlem adımlarını bana açıklayabilir misiniz? Hangi adımların ardından işlemi tamamlayabileceğimi öğrenmek istiyorum?;Positive;0.91;positive;0.74
Bundan sonraki süreç nasıl işleyecek? İşlem sırasında her adımda bana bilgi verecek misiniz ya da beni bilgilendirecek bir güncelleme olacak mı?;Notr;0.87;positive;0.96
Çalışanlarınızla nasıl iletişime geçebilirim? İlgili departmanla iletişim kurabileceğim bir yöntem var mı?;Positive;0.87;negative;0.71
Bu konuda nasıl ilerleyeceğiz, bilgi verebilir misiniz? Sürecin her aşamasında nasıl bir yol izleyeceğimizi açıklayabilir misiniz?;Positive;0.9;positive;0.82
Başvuru durumunu nasıl kontrol edebilirim? Güncelleme alabileceğim bir sistem ya da size ulaşabileceğim bir kanal var mı?;Positive;0.92;negative;0.57
Daha fazla bilgiye nereden ulaşabilirim? İlgili belgeler ya da referanslar nerede bulabilirim?;Notr;0.85;positive;0.86
Gelecek günlerde yeni bir bilgilendirme olacak mı? İşlem süreci hakkında bir gelişme olduğunda bilgilendirilecek miyim?;Notr;0.61;positive;0.75
Bu işlemi nasıl tamamlayabilirim? Yapmam gereken adımların tümünü sıralayabilir misiniz?;Notr;0.76;negative;0.8
İlgili departmana nasıl ulaşabilirim? Görüşme yapabileceğim bir yetkili kişi ya da ekip var mı?;Positive;0.89;negative;0.54
Başvuru durumu hakkında nasıl bilgi alabilirim? Başvurumun ilerleyişini kontrol etmek için bir sistem ya da uygulama var mı?;Positive;0.95;positive;0.58
Yardımcı olabileceğiniz başka seçenekler var mı? Hangi yollarla hizmet alabileceğimi daha detaylı açıklayabilir misiniz?;Positive;0.94;negative;0.81
Başka hangi seçenekler mevcut? Şu an sunulan hizmet dışında başka ne gibi çözümler öneriyorsunuz?;Positive;0.86;negative;0.94
Sistemdeki güncellemeleri nasıl kontrol edebilirim.;Notr;1.0;negative;0.97
Hizmetinizle ilgili daha fazla bilgiye nereden ulaşabilirim?;Notr;0.94;positive;0.67
Bu işlemin tamamlanması için ne kadar süre beklemeliyim?;Notr;1.0;negative;0.83
Başvurum hakkında bir güncelleme alacak mıyım?;Notr;1.0;negative;0.59
Sorunun çözümü için hangi belgeleri hazırlamam gerekiyor?;Notr;0.98;negative;0.92
